CRANKANGLE,Mass Cylinder 1 (kg)
[deg],[kg]
-55,0.000819749
-54,0.000819749
-53,0.000819749
-52,0.000819749
-51,0.000819749
-50,0.000819749
-49,0.000819749
-48,0.000819749
-47,0.000819749
-46,0.000819749
-45,0.000819749
-44,0.000819749
-43,0.000819749
-42,0.000819749
-41,0.000819749
-40,0.000819749
-39,0.000819749
-38,0.000819749
-37,0.000819749
-36,0.000819749
-35,0.000819749
-34,0.000819749
-33,0.000819749
-32,0.000819749
-31,0.000819749
-30,0.000819749
-29,0.000819749
-28,0.000819749
-27,0.000819749
-26,0.000819749
-25,0.000819749
-24,0.000819749
-23,0.000819749
-22,0.000819749
-21,0.000819749
-20,0.000819749
-19,0.000819749
-18,0.000819749
-17,0.000819749
-16,0.000819749
-15,0.000820469
-14,0.000821
-13,0.000821169
-12,0.000821315
-11,0.000821322
-10,0.000821322
-9,0.000821473
-8,0.000821473
-7,0.000821473
-6,0.000821634
-5,0.000821634
-4,0.000821634
-3,0.000821699
-2,0.000821699
-1,0.000821765
0,0.00082271
1,0.000823024
2,0.000823885
3,0.000824792
4,0.000825205
5,0.000825839
6,0.000826213
7,0.000826219
8,0.000826601
9,0.000826891
10,0.000826931
11,0.000827227
12,0.000827315
13,0.000827348
14,0.000827618
15,0.000827618
16,0.000827717
17,0.000827899
18,0.000827899
19,0.000828066
20,0.000828077
21,0.000828178
22,0.000828178
23,0.000828206
24,0.000828286
25,0.000828331
26,0.000828388
27,0.000828388
28,0.000828451
29,0.000828451
30,0.000828524
31,0.000828529
32,0.000828589
33,0.000828589
34,0.000828652
35,0.000828658
36,0.000828683
37,0.000828683
38,0.000828739
39,0.000828739
40,0.000828752
41,0.000828758
42,0.00082877
43,0.000828799
44,0.000828799
45,0.000828822
46,0.000828826
47,0.000828844
48,0.000828847
49,0.000828856
50,0.000828868
51,0.000828869
52,0.000828877
53,0.000828883
54,0.000828908
55,0.000828908
56,0.00082893
57,0.000828939
58,0.000828939
59,0.000828957
60,0.000828957
61,0.000828989
62,0.000828989
63,0.000828989
64,0.000828989
65,0.000829026
66,0.00082903
67,0.00082903
68,0.000829032
69,0.000829057
70,0.000829057
71,0.000829066
72,0.000829068
73,0.000829069
74,0.000829076
75,0.000829076
76,0.000829117
77,0.000829117
78,0.000829117
79,0.000829144
80,0.000829148
81,0.000829157
82,0.000829163
83,0.000829163
84,0.000829163
85,0.00082919
86,0.00082919
87,0.000829228
88,0.000829228
89,0.000829228
90,0.000829228
91,0.000829245
92,0.000829273
93,0.000829273
94,0.000829273
95,0.000829273
96,0.000829273
97,0.000829311
98,0.000829311
99,0.000829369
100,0.000829369
101,0.000829377
102,0.000829377
103,0.000829397
104,0.000829397
105,0.000829397
106,0.000829431
107,0.000829431
108,0.00082945
109,0.00082945
110,0.00082945
111,0.00082945
112,0.00082945
113,0.00082945
114,0.00082945
115,0.00082945
116,0.00082945
117,0.00082945
118,0.00082945
119,0.00082945
120,0.00082945
121,0.00082945
122,0.00082945
123,0.00082945
124,0.00082945
125,0.00082945
126,0.00082945
127,0.00082945
128,0.00082945
129,0.00082945
130,0.00082945
131,0.00082945
132,0.00082945
133,0.00082945
134,0.00082945
135,0.00082945
136,0.00082945
137,0.00082945
138,0.00082945
139,0.00082945
140,0.00082945
141,0.00082945
142,0.00082945
143,0.00082945
144,0.00082945
145,0.00082945
146,0.00082945
147,0.00082945
148,0.00082945
149,0.00082945
150,0.00082945
151,0.00082945
152,0.00082945
153,0.00082945
154,0.00082945
155,0.00082945
156,0.00082945
157,0.00082945
158,0.00082945
159,0.00082945
160,0.00082945
161,0.00082945
162,0.00082945
163,0.00082945
164,0.00082945
165,0.00082945
166,0.00082945
167,0.00082945
168,0.00082945
169,0.00082945
170,0.00082945
171,0.00082945
172,0.00082945
173,0.00082945
174,0.00082945
175,0.00082945
176,0.00082945
177,0.00082945
178,0.00082945
179,0.00082945
180,0.00082945
181,0.00082945
182,0.00082945
183,0.00082945
184,0.00082945
185,0.00082945
186,0.00082945
187,0.00082945
188,0.00082945
189,0.00082945
190,0.00082945
191,0.00082945
192,0.00082945
193,0.00082945
194,0.00082945
195,0.00082945
196,0.00082945
197,0.00082945
198,0.00082945
199,0.00082945
200,0.00082945
201,0.00082945
202,0.00082945
203,0.00082945
204,0.00082945
205,0.00082945
206,0.00082945
207,0.00082945
208,0.00082945
209,0.00082945
210,0.00082945
211,0.00082945
212,0.00082945
213,0.00082945
214,0.00082945
215,0.00082945
216,0.00082945
217,0.00082945
218,0.00082945
219,0.00082945
220,0.00082945
221,0.00082945
222,0.00082945
223,0.00082945
224,0.00082945
225,0.00082945
226,0.00082945
227,0.00082945
228,0.00082945
229,0.00082945
230,0.00082945
231,0.00082945
232,0.00082945
233,0.00082945
234,0.00082945
235,0.00082945
236,0.00082945
237,0.00082945
238,0.00082945
239,0.00082945
240,0.00082945
241,0.00082945
242,0.00082945
243,0.00082945
244,0.00082945
245,0.00082945
246,0.00082945
247,0.00082945
248,0.00082945
249,0.00082945
250,0.00082945
251,0.00082945
252,0.00082945
253,0.00082945
254,0.00082945
255,0.00082945
256,0.00082945
257,0.00082945
258,0.00082945
259,0.00082945
260,0.00082945
261,0.00082945
262,0.00082945
263,0.00082945
264,0.00082945
265,0.00082945
266,0.00082945
267,0.00082945
268,0.00082945
269,0.00082945
270,0.00082945
271,0.00082945
272,0.00082945
273,0.00082945
274,0.00082945
275,0.00082945
276,0.00082945
277,0.00082945
278,0.00082945
279,0.00082945
280,0.00082945
281,0.00082945
282,0.00082945
283,0.00082945
284,0.00082945
285,0.00082945
286,0.00082945
287,0.00082945
288,0.00082945
289,0.00082945
290,0.00082945
291,0.00082945
292,0.00082945
293,0.00082945
294,0.00082945
295,0.00082945
296,0.00082945
297,0.00082945
298,0.00082945
299,0.00082945
300,0.00082945
301,0.00082945
302,0.00082945
303,0.00082945
304,0.00082945
305,0.00082945
306,0.00082945
307,0.00082945
308,0.00082945
309,0.00082945
310,0.00082945
311,0.00082945
312,0.00082945
313,0.00082945
314,0.00082945
315,0.00082945
316,0.00082945
317,0.00082945
318,0.00082945
319,0.00082945
320,0.00082945
321,0.00082945
322,0.00082945
323,0.00082945
324,0.00082945
325,0.00082945
326,0.00082945
327,0.00082945
328,0.00082945
329,0.00082945
330,0.00082945
331,0.00082945
332,0.00082945
333,0.00082945
334,0.00082945
335,0.00082945
336,0.00082945
337,0.00082945
338,0.00082945
339,0.00082945
340,0.00082945
341,0.00082945
342,0.00082945
343,0.00082945
344,0.00082945
345,0.00082945
346,0.00082945
347,0.00082945
348,0.00082945
349,0.00082945
350,0.00082945
351,0.00082945
352,0.00082945
353,0.00082945
354,0.00082945
355,0.00082945
356,0.00082945
357,0.00082945
358,0.00082945
359,0.00082945
360,0.00082945
