CRANKANGLE,Mass Cylinder 1 (kg),Mass Fuel 1 (kg)
-150,0.0005008,0
-149,0.0005008,0
-148,0.0005008,0
-147,0.0005008,0
-146,0.0005008,0
-145,0.0005008,0
-144,0.0005008,0
-143,0.0005008,0
-142,0.0005008,0
-141,0.0005008,0
-140,0.0005008,0
-139,0.0005008,0
-138,0.0005008,0
-137,0.0005008,0
-136,0.0005008,0
-135,0.0005008,0
-134,0.0005008,0
-133,0.0005008,0
-132,0.0005008,0
-131,0.0005008,0
-130,0.0005008,0
-129,0.0005008,0
-128,0.0005008,0
-127,0.0005008,0
-126,0.0005008,0
-125,0.0005008,0
-124,0.0005008,0
-123,0.0005008,0
-122,0.0005008,0
-121,0.0005008,0
-120,0.0005008,0
-119,0.0005008,0
-118,0.0005008,0
-117,0.0005008,0
-116,0.0005008,0
-115,0.0005008,0
-114,0.0005008,0
-113,0.0005008,0
-112,0.0005008,0
-111,0.0005008,0
-110,0.0005008,0
-109,0.0005008,0
-108,0.0005008,0
-107,0.0005008,0
-106,0.0005008,0
-105,0.0005008,0
-104,0.0005008,0
-103,0.0005008,0
-102,0.0005008,0
-101,0.0005008,0
-100,0.0005008,0
-99,0.0005008,0
-98,0.0005008,0
-97,0.0005008,0
-96,0.0005008,0
-95,0.0005008,0
-94,0.0005008,0
-93,0.0005008,0
-92,0.0005008,0
-91,0.0005008,0
-90,0.0005008,0
-89,0.0005008,0
-88,0.0005008,0
-87,0.0005008,0
-86,0.0005008,0
-85,0.0005008,0
-84,0.0005008,0
-83,0.0005008,0
-82,0.0005008,0
-81,0.0005008,0
-80,0.0005008,0
